iter	Passed	Remaining
0	1	134
1	3	150
2	4	146
3	5	131
4	6	125
5	7	122
6	8	118
7	10	115
8	11	113
9	12	110
10	13	108
11	14	106
12	15	104
13	16	103
14	18	102
15	19	100
16	20	98
17	21	97
18	22	95
19	23	94
20	24	93
21	25	91
22	27	90
23	28	88
24	29	87
25	30	86
26	31	85
27	32	84
28	34	83
29	35	82
30	36	81
31	37	80
32	38	78
33	39	77
34	41	76
35	42	75
36	43	73
37	44	73
38	45	71
39	47	70
40	48	69
41	48	67
42	50	66
43	51	65
44	52	64
45	53	63
46	55	62
47	56	61
48	57	59
49	58	58
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	33
72	86	31
73	87	30
74	88	29
75	89	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	118	0
