iter	Passed	Remaining
0	232	232408
1	233	116727
2	235	78202
3	236	58886
4	237	47299
5	238	39567
6	240	34051
7	241	29902
8	242	26680
9	243	24098
10	244	21994
11	245	20238
12	246	18746
13	248	17479
14	249	16390
15	250	15425
16	252	14573
17	253	13811
18	254	13138
19	255	12529
20	256	11974
21	257	11467
22	259	11003
23	260	10583
24	261	10201
25	262	9846
26	263	9510
27	265	9201
28	266	8916
29	267	8647
30	268	8394
31	269	8157
32	270	7937
33	272	7729
34	273	7530
35	274	7350
36	275	7175
37	276	7011
38	278	6851
39	279	6704
40	280	6564
41	281	6426
42	282	6294
43	284	6175
44	285	6058
45	286	5944
46	287	5834
47	288	5729
48	290	5628
49	291	5540
50	292	5449
51	294	5361
52	295	5275
53	296	5192
54	297	5112
55	298	5034
56	299	4960
57	301	4889
58	302	4820
59	303	4751
60	304	4686
61	305	4625
62	306	4563
63	307	4503
64	309	4451
65	310	4396
66	311	4342
67	312	4288
68	314	4238
69	315	4188
70	316	4140
71	317	4092
72	318	4045
73	320	4009
74	321	3967
75	322	3926
76	324	3890
77	325	3850
78	327	3812
79	328	3773
80	329	3736
81	330	3702
82	331	3661
83	332	3626
84	334	3598
85	335	3566
86	336	3533
87	338	3503
88	339	3473
89	340	3442
90	341	3413
91	342	3382
92	344	3356
93	345	3328
94	346	3300
95	347	3276
96	349	3250
97	350	3224
98	351	3198
99	352	3172
100	353	3149
101	355	3125
102	356	3101
103	357	3077
104	358	3054
105	359	3033
106	360	3011
107	362	2990
108	363	2970
109	364	2950
110	365	2929
111	366	2908
112	367	2887
113	369	2868
114	370	2848
115	371	2830
116	372	2809
117	373	2792
118	374	2774
119	376	2760
120	377	2743
121	378	2725
122	380	2709
123	381	2693
124	382	2676
125	383	2662
126	384	2645
127	386	2630
128	387	2617
129	388	2602
130	390	2588
131	391	2573
132	392	2558
133	393	2545
134	395	2532
135	396	2517
136	397	2504
137	398	2491
138	399	2477
139	401	2463
140	402	2450
141	403	2438
142	404	2427
143	406	2414
144	407	2401
145	408	2391
146	409	2378
147	411	2366
148	412	2354
149	413	2343
150	414	2331
151	415	2319
152	416	2308
153	418	2297
154	419	2286
155	420	2275
156	421	2265
157	423	2257
158	424	2246
159	425	2235
160	426	2222
161	427	2213
162	429	2203
163	430	2193
164	431	2184
165	433	2175
166	434	2165
167	435	2155
168	436	2146
169	437	2138
170	439	2129
171	440	2119
172	441	2110
173	442	2102
174	444	2093
175	445	2085
176	446	2076
177	448	2071
178	449	2062
179	450	2053
180	451	2044
181	453	2036
182	454	2028
183	455	2020
184	456	2011
185	457	2004
186	459	1997
187	460	1988
188	461	1980
189	462	1973
190	464	1965
191	465	1957
192	466	1949
193	467	1942
194	468	1934
195	469	1927
196	470	1919
197	472	1912
198	473	1905
199	474	1898
200	475	1891
201	476	1883
202	478	1877
203	479	1870
204	480	1862
205	481	1855
206	482	1849
207	484	1842
208	485	1836
209	486	1830
210	487	1824
211	488	1817
212	490	1810
213	491	1804
214	492	1798
215	493	1791
216	494	1785
217	495	1778
218	496	1772
219	498	1765
220	499	1759
221	500	1753
222	501	1748
223	502	1742
224	503	1735
225	505	1730
226	506	1724
227	507	1718
228	508	1712
229	509	1706
230	510	1701
231	512	1695
232	513	1689
233	514	1684
234	515	1679
235	516	1673
236	518	1667
237	519	1662
238	520	1656
239	521	1651
240	522	1646
241	523	1640
242	524	1635
243	526	1630
244	527	1625
245	528	1619
246	529	1614
247	530	1609
248	531	1604
249	532	1598
250	534	1593
251	535	1588
252	536	1583
253	537	1578
254	538	1573
255	539	1568
256	540	1563
257	542	1559
258	543	1554
259	544	1549
260	545	1544
261	546	1539
262	547	1534
263	548	1530
264	549	1525
265	551	1521
266	552	1516
267	553	1512
268	554	1507
269	555	1503
270	557	1498
271	558	1494
272	559	1489
273	560	1485
274	561	1481
275	562	1476
276	563	1472
277	565	1467
278	566	1463
279	567	1459
280	568	1455
281	569	1451
282	571	1447
283	572	1442
284	573	1438
285	574	1434
286	575	1430
287	577	1426
288	578	1422
289	579	1418
290	580	1414
291	581	1410
292	583	1407
293	584	1403
294	585	1399
295	586	1395
296	588	1391
297	589	1387
298	590	1384
299	591	1380
300	592	1376
301	593	1372
302	595	1368
303	596	1365
304	597	1362
305	598	1358
306	600	1354
307	601	1351
308	602	1347
309	603	1343
310	604	1339
311	605	1336
312	607	1332
313	608	1328
314	609	1324
315	610	1322
316	612	1318
317	613	1315
318	614	1311
319	615	1308
320	616	1304
321	618	1301
322	619	1297
323	620	1294
324	621	1290
325	622	1287
326	624	1284
327	625	1280
328	626	1277
329	627	1274
330	628	1270
331	629	1267
332	631	1264
333	632	1261
334	633	1257
335	634	1254
336	636	1251
337	637	1248
338	638	1245
339	639	1242
340	641	1238
341	642	1235
342	643	1232
343	644	1229
344	645	1225
345	646	1222
346	647	1219
347	649	1215
348	650	1213
349	651	1210
350	653	1207
351	654	1204
352	655	1201
353	656	1198
354	657	1195
355	659	1192
356	660	1189
357	661	1186
358	662	1183
359	664	1180
360	665	1177
361	666	1174
362	667	1171
363	669	1168
364	670	1165
365	671	1163
366	672	1159
367	673	1157
368	675	1154
369	676	1151
370	677	1148
371	678	1145
372	680	1143
373	681	1141
374	682	1138
375	684	1135
376	685	1132
377	686	1129
378	687	1127
379	689	1124
380	690	1121
381	691	1118
382	692	1116
383	694	1114
384	695	1111
385	696	1108
386	698	1105
387	699	1103
388	700	1100
389	701	1097
390	703	1095
391	704	1092
392	705	1090
393	707	1087
394	708	1085
395	710	1083
396	711	1080
397	712	1077
398	713	1075
399	715	1072
400	716	1070
401	717	1067
402	718	1064
403	720	1063
404	721	1060
405	722	1057
406	724	1055
407	725	1052
408	726	1050
409	727	1047
410	728	1044
411	730	1042
412	731	1039
413	732	1036
414	733	1034
415	735	1031
416	736	1029
417	737	1026
418	738	1023
419	739	1021
420	740	1018
421	742	1016
422	743	1013
423	744	1011
424	745	1008
425	747	1006
426	748	1004
427	749	1002
428	751	999
429	752	997
430	753	995
431	754	992
432	756	989
433	757	987
434	758	984
435	759	982
436	761	980
437	762	978
438	763	975
439	764	973
440	765	970
441	766	968
442	768	965
443	769	963
444	770	960
445	771	958
446	772	956
447	774	954
448	775	952
449	776	949
450	778	947
451	779	945
452	780	942
453	782	940
454	783	938
455	784	936
456	785	933
457	787	931
458	788	929
459	789	927
460	791	924
461	792	922
462	793	920
463	795	918
464	796	916
465	797	913
466	798	911
467	799	909
468	801	907
469	802	905
470	803	902
471	804	900
472	805	897
473	807	895
474	808	893
475	809	891
476	810	888
477	812	886
478	813	885
479	814	882
480	816	880
481	817	879
482	819	877
483	820	875
484	822	873
485	823	871
486	825	869
487	826	867
488	828	865
489	829	863
490	830	861
491	832	859
492	834	857
493	835	855
494	836	853
495	837	851
496	838	848
497	840	846
498	841	844
499	842	842
500	843	840
501	845	838
502	846	836
503	847	834
504	849	832
505	850	830
506	851	827
507	852	825
508	853	823
509	855	821
510	856	819
511	857	817
512	858	815
513	860	813
514	861	811
515	862	809
516	863	806
517	864	804
518	866	802
519	867	800
520	868	798
521	869	796
522	870	794
523	871	792
524	873	790
525	874	788
526	875	785
527	876	783
528	878	781
529	879	779
530	880	777
531	881	775
532	882	773
533	883	771
534	885	769
535	886	767
536	887	765
537	888	763
538	889	760
539	890	758
540	892	756
541	893	754
542	894	752
543	895	750
544	896	748
545	898	746
546	899	744
547	900	742
548	901	740
549	903	738
550	904	736
551	905	734
552	906	732
553	908	731
554	909	729
555	910	726
556	911	724
557	912	722
558	913	721
559	915	718
560	916	717
561	917	715
562	918	713
563	919	711
564	921	709
565	922	707
566	923	705
567	924	703
568	925	701
569	927	699
570	928	697
571	929	695
572	930	693
573	931	691
574	933	689
575	934	687
576	935	685
577	936	683
578	937	682
579	939	680
580	940	678
581	941	676
582	942	674
583	944	672
584	945	670
585	946	668
586	948	667
587	949	665
588	950	663
589	951	661
590	952	659
591	954	657
592	955	655
593	956	653
594	957	652
595	959	650
596	960	648
597	961	646
598	962	644
599	963	642
600	964	640
601	966	638
602	967	636
603	968	635
604	969	633
605	971	631
606	973	630
607	974	628
608	976	626
609	977	625
610	978	623
611	980	621
612	981	619
613	983	618
614	985	616
615	987	615
616	988	613
617	990	612
618	992	610
619	994	609
620	995	607
621	996	605
622	998	604
623	999	602
624	1000	600
625	1002	598
626	1003	596
627	1004	595
628	1005	593
629	1007	591
630	1008	589
631	1009	587
632	1010	586
633	1012	584
634	1013	582
635	1014	580
636	1015	578
637	1016	577
638	1018	575
639	1019	573
640	1021	572
641	1022	570
642	1023	568
643	1025	566
644	1026	564
645	1028	563
646	1030	561
647	1031	560
648	1033	558
649	1034	557
650	1035	555
651	1037	553
652	1038	551
653	1039	549
654	1041	548
655	1042	546
656	1043	544
657	1044	543
658	1046	541
659	1047	539
660	1048	537
661	1050	536
662	1051	534
663	1053	532
664	1054	531
665	1056	529
666	1057	527
667	1058	526
668	1059	524
669	1061	522
670	1062	521
671	1063	519
672	1065	517
673	1066	516
674	1068	514
675	1069	512
676	1070	510
677	1072	509
678	1073	507
679	1074	505
680	1075	504
681	1077	502
682	1078	500
683	1080	499
684	1082	497
685	1083	496
686	1085	494
687	1086	492
688	1087	491
689	1089	489
690	1090	487
691	1091	485
692	1092	484
693	1094	482
694	1096	481
695	1097	479
696	1099	477
697	1100	476
698	1102	474
699	1103	472
700	1104	471
701	1106	469
702	1107	467
703	1108	466
704	1110	464
705	1111	462
706	1112	460
707	1113	459
708	1115	457
709	1116	455
710	1117	454
711	1118	452
712	1120	450
713	1121	449
714	1123	447
715	1124	446
716	1125	444
717	1127	442
718	1128	440
719	1129	439
720	1130	437
721	1131	435
722	1133	434
723	1134	432
724	1135	430
725	1137	429
726	1138	427
727	1139	425
728	1141	424
729	1142	422
730	1143	420
731	1145	419
732	1146	417
733	1147	415
734	1148	414
735	1150	412
736	1151	410
737	1152	409
738	1154	407
739	1155	406
740	1156	404
741	1158	402
742	1159	401
743	1161	399
744	1162	397
745	1163	396
746	1164	394
747	1166	392
748	1167	391
749	1169	389
750	1170	388
751	1171	386
752	1173	384
753	1174	383
754	1175	381
755	1176	379
756	1177	378
757	1179	376
758	1181	374
759	1182	373
760	1183	371
761	1184	370
762	1185	368
763	1187	366
764	1188	365
765	1190	363
766	1191	361
767	1192	360
768	1194	358
769	1195	357
770	1196	355
771	1197	353
772	1198	352
773	1200	350
774	1201	348
775	1202	347
776	1203	345
777	1205	343
778	1206	342
779	1208	340
780	1209	339
781	1210	337
782	1211	335
783	1213	334
784	1214	332
785	1215	330
786	1216	329
787	1218	327
788	1219	326
789	1221	324
790	1223	323
791	1224	321
792	1225	319
793	1227	318
794	1228	316
795	1230	315
796	1231	313
797	1233	312
798	1234	310
799	1236	309
800	1237	307
801	1238	305
802	1239	304
803	1241	302
804	1242	300
805	1243	299
806	1244	297
807	1245	296
808	1247	294
809	1248	292
810	1249	291
811	1250	289
812	1252	288
813	1253	286
814	1254	284
815	1255	283
816	1257	281
817	1258	280
818	1260	278
819	1261	276
820	1262	275
821	1263	273
822	1265	272
823	1266	270
824	1267	268
825	1269	267
826	1270	265
827	1271	264
828	1272	262
829	1275	261
830	1276	259
831	1277	258
832	1279	256
833	1280	254
834	1281	253
835	1283	251
836	1284	250
837	1285	248
838	1286	246
839	1288	245
840	1290	244
841	1292	242
842	1293	240
843	1295	239
844	1296	237
845	1298	236
846	1299	234
847	1301	233
848	1302	231
849	1303	230
850	1305	228
851	1307	227
852	1308	225
853	1310	223
854	1311	222
855	1312	220
856	1313	219
857	1315	217
858	1316	216
859	1318	214
860	1319	212
861	1320	211
862	1321	209
863	1323	208
864	1324	206
865	1325	205
866	1327	203
867	1328	202
868	1329	200
869	1330	198
870	1333	197
871	1334	195
872	1335	194
873	1336	192
874	1338	191
875	1339	189
876	1340	188
877	1342	186
878	1343	184
879	1345	183
880	1346	181
881	1348	180
882	1349	178
883	1350	177
884	1351	175
885	1352	174
886	1354	172
887	1355	170
888	1356	169
889	1357	167
890	1359	166
891	1360	164
892	1361	163
893	1362	161
894	1364	160
895	1365	158
896	1366	156
897	1368	155
898	1369	153
899	1370	152
900	1371	150
901	1373	149
902	1374	147
903	1375	146
904	1377	144
905	1378	143
906	1379	141
907	1381	139
908	1382	138
909	1383	136
910	1384	135
911	1386	133
912	1387	132
913	1389	130
914	1390	129
915	1391	127
916	1392	126
917	1394	124
918	1395	123
919	1397	121
920	1398	119
921	1400	118
922	1401	116
923	1402	115
924	1403	113
925	1405	112
926	1406	110
927	1408	109
928	1409	107
929	1410	106
930	1411	104
931	1413	103
932	1414	101
933	1415	100
934	1416	98
935	1418	96
936	1419	95
937	1420	93
938	1421	92
939	1423	90
940	1424	89
941	1425	87
942	1427	86
943	1428	84
944	1429	83
945	1431	81
946	1432	80
947	1434	78
948	1435	77
949	1436	75
950	1437	74
951	1438	72
952	1441	71
953	1443	69
954	1445	68
955	1447	66
956	1448	65
957	1450	63
958	1451	62
959	1452	60
960	1454	59
961	1455	57
962	1457	55
963	1458	54
964	1460	52
965	1461	51
966	1462	49
967	1464	48
968	1465	46
969	1467	45
970	1468	43
971	1469	42
972	1470	40
973	1472	39
974	1473	37
975	1474	36
976	1476	34
977	1477	33
978	1479	31
979	1481	30
980	1482	28
981	1483	27
982	1485	25
983	1486	24
984	1487	22
985	1489	21
986	1490	19
987	1491	18
988	1492	16
989	1494	15
990	1495	13
991	1497	12
992	1498	10
993	1499	9
994	1501	7
995	1502	6
996	1503	4
997	1505	3
998	1506	1
999	1507	0
