iter	Passed	Remaining
0	199	199324
1	201	100482
2	202	67422
3	204	50854
4	205	40956
5	207	34313
6	208	29607
7	210	26050
8	211	23294
9	212	21072
10	214	19247
11	215	17733
12	216	16455
13	218	15389
14	220	14450
15	221	13608
16	222	12870
17	223	12212
18	225	11637
19	226	11107
20	228	10633
21	229	10197
22	230	9793
23	231	9424
24	233	9088
25	234	8778
26	235	8489
27	236	8220
28	238	7973
29	239	7747
30	240	7529
31	242	7333
32	243	7141
33	245	6963
34	246	6791
35	247	6630
36	248	6478
37	250	6331
38	251	6194
39	252	6065
40	254	5947
41	255	5828
42	256	5715
43	258	5606
44	259	5503
45	260	5407
46	262	5315
47	263	5222
48	264	5134
49	265	5053
50	267	4973
51	268	4895
52	269	4822
53	271	4750
54	272	4680
55	273	4614
56	275	4551
57	276	4489
58	277	4431
59	279	4374
60	280	4317
61	282	4270
62	283	4217
63	284	4165
64	286	4115
65	287	4066
66	288	4019
67	290	3974
68	291	3934
69	292	3892
70	294	3850
71	295	3810
72	296	3770
73	298	3731
74	299	3693
75	300	3657
76	302	3621
77	303	3588
78	304	3555
79	306	3525
80	307	3493
81	309	3463
82	310	3426
83	311	3395
84	312	3365
85	314	3337
86	315	3308
87	316	3281
88	317	3253
89	319	3229
90	320	3204
91	321	3177
92	323	3154
93	325	3133
94	326	3109
95	327	3088
96	329	3064
97	330	3042
98	332	3022
99	333	3003
100	335	2982
101	336	2962
102	338	2944
103	339	2923
104	340	2903
105	341	2883
106	343	2866
107	344	2847
108	346	2831
109	347	2814
110	349	2796
111	350	2778
112	351	2760
113	353	2745
114	354	2728
115	355	2711
116	356	2693
117	358	2677
118	359	2660
119	361	2648
120	362	2634
121	363	2618
122	365	2602
123	366	2587
124	367	2574
125	369	2559
126	370	2543
127	371	2529
128	373	2518
129	374	2505
130	375	2492
131	377	2479
132	378	2466
133	379	2453
134	380	2440
135	382	2428
136	383	2416
137	385	2406
138	386	2394
139	388	2384
140	389	2371
141	390	2358
142	391	2346
143	393	2336
144	394	2326
145	395	2314
146	397	2303
147	398	2293
148	399	2282
149	400	2271
150	402	2263
151	403	2253
152	405	2242
153	406	2232
154	407	2222
155	409	2212
156	410	2203
157	411	2193
158	412	2184
159	414	2174
160	415	2163
161	416	2154
162	417	2146
163	419	2137
164	420	2127
165	421	2118
166	422	2109
167	424	2100
168	425	2092
169	426	2084
170	428	2076
171	429	2068
172	431	2061
173	432	2054
174	434	2046
175	435	2038
176	436	2031
177	438	2023
178	439	2015
179	440	2007
180	442	2000
181	443	1993
182	444	1985
183	446	1978
184	447	1970
185	448	1963
186	449	1955
187	451	1949
188	452	1942
189	453	1935
190	455	1928
191	456	1921
192	457	1913
193	458	1906
194	460	1899
195	461	1893
196	462	1886
197	464	1880
198	465	1874
199	467	1868
200	468	1861
201	469	1855
202	470	1849
203	472	1842
204	473	1836
205	474	1829
206	476	1823
207	477	1818
208	478	1812
209	480	1806
210	481	1801
211	483	1795
212	484	1790
213	486	1785
214	487	1779
215	488	1773
216	490	1769
217	491	1764
218	493	1758
219	494	1752
220	495	1746
221	496	1741
222	498	1736
223	499	1731
224	501	1726
225	502	1721
226	504	1716
227	505	1711
228	506	1706
229	508	1701
230	509	1696
231	511	1692
232	512	1686
233	513	1681
234	515	1676
235	516	1672
236	517	1666
237	519	1661
238	520	1657
239	521	1652
240	523	1647
241	524	1643
242	525	1638
243	527	1633
244	528	1628
245	529	1623
246	531	1619
247	532	1614
248	533	1610
249	535	1605
250	536	1600
251	537	1596
252	539	1591
253	540	1587
254	542	1583
255	543	1580
256	545	1575
257	547	1573
258	548	1569
259	549	1564
260	550	1559
261	552	1555
262	553	1551
263	556	1550
264	557	1546
265	558	1542
266	560	1538
267	561	1533
268	562	1529
269	564	1527
270	566	1523
271	567	1519
272	569	1517
273	571	1513
274	572	1509
275	574	1505
276	575	1501
277	576	1497
278	577	1493
279	579	1489
280	580	1485
281	581	1481
282	583	1477
283	584	1474
284	586	1470
285	587	1466
286	588	1462
287	589	1458
288	591	1454
289	592	1450
290	593	1446
291	595	1442
292	596	1439
